20200109,092242,00003231,6,MISC-IND  ,00032005482338504,00340797077418520,000001064.8080,000001064.7540,000001064.8080,000001064.7540,000001064.7540
20200109,092242,00003232,6,KOMPAS100 ,00412403842970955,05838305921802396,000001415.6770,000001415.6730,000001415.6770,000001415.6730,000001415.6730
20200109,092400,00003238,6,ISSI      ,01938990051986820,03788202674083235,000000195.3700,000000195.3700,000000195.3710,000000195.3700,000000195.3700
20200109,092400,00003239,6,COMPOSITE ,00112592705496685,07422130587188135,000006592.0170,000006592.0170,000006592.0330,000006592.0170,000006592.0170
20200109,092400,00003240,6,MBX       ,00356030868298119,06747986789708158,000001895.3380,000001895.3380,000001895.3420,000001895.3380,000001895.3380
20200109,092400,00003241,6,MANUFACTUR,00164383868955428,02371243535438358,000001442.5040,000001442.5040,000001442.5140,000001442.5040,000001442.5040
20200109,092400,00003242,6,MISC-IND  ,00032005482338504,00340779653418520,000001064.7540,000001064.7540,000001064.8080,000001064.7540,000001064.7540
20200109,092400,00003243,6,KOMPAS100 ,00412403842970955,05838288497802396,000001415.6730,000001415.6730,000001415.6770,000001415.6730,000001415.6730
20200109,092411,00003248,6,ISSI      ,01938990051986820,03788220098083235,000000195.3710,000000195.3700,000000195.3710,000000195.3700,000000195.3700
20200109,092411,00003249,6,COMPOSITE ,00112592705496685,07422148011188135,000006592.0330,000006592.0170,000006592.0330,000006592.0170,000006592.0170
20200109,092411,00003250,6,MBX       ,00356030868298119,06748004213708158,000001895.3420,000001895.3380,000001895.3420,000001895.3380,000001895.3380
20200109,092411,00003251,6,MANUFACTUR,00164383868955428,02371260959438358,000001442.5140,000001442.5040,000001442.5140,000001442.5040,000001442.5040
20200109,092411,00003252,6,MISC-IND  ,00032005482338504,00340797077418520,000001064.8080,000001064.7540,000001064.8080,000001064.7540,000001064.7540
20200109,092411,00003253,6,KOMPAS100 ,00412403842970955,05838305921802396,000001415.6770,000001415.6730,000001415.6770,000001415.6730,000001415.6730
20200109,092517,00003267,6,COMPOSITE ,00112592705496685,07422148011188135,000006592.0330,000006592.0170,000006592.0330,000006592.0170,000006592.0170
20200109,092517,00003268,6,CONSUMER  ,00061194585667059,01361110910095365,000002224.2340,000002224.2340,000002224.2340,000002224.2340,000002224.2340
20200109,092517,00003269,6,MANUFACTUR,00164383868955428,02371260959438358,000001442.5140,000001442.5040,000001442.5140,000001442.5040,000001442.5040
20200109,092517,00003270,6,MBX       ,00356030868298119,06748004213708158,000001895.3420,000001895.3380,000001895.3420,000001895.3380,000001895.3380
20200109,092517,00003271,6,ISSI      ,01938990051986820,03788220098083235,000000195.3710,000000195.3700,000000195.3710,000000195.3700,000000195.3700
20200109,092540,00003281,6,ISSI      ,01938990051986820,03788202674083235,000000195.3700,000000195.3700,000000195.3710,000000195.3700,000000195.3700
20200109,092540,00003282,6,COMPOSITE ,00112592705496685,07422130587188135,000006592.0170,000006592.0170,000006592.0330,000006592.0170,000006592.0170
20200109,092540,00003283,6,MBX       ,00356030868298119,06747986789708158,000001895.3380,000001895.3380,000001895.3420,000001895.3380,000001895.3380
20200109,092540,00003284,6,MANUFACTUR,00164383868955428,02371243535438358,000001442.5040,000001442.5040,000001442.5140,000001442.5040,000001442.5040
